model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss,columns
V0,saved_models/model_V0.75,1,8,None,0.3983077113999718,0.29153044443831333,"0.2960127763093889,0.3592308274455487,0.37860000931961474,0.39341308225726834,0.4186920010897279,0.4318768860626446,0.4369809194263225,0.4490402340297824","0.22667110916451544,0.2668585185804856,0.2796784598877501,0.2895930887920737,0.30620817756769725,0.31465739017908784,0.31877028193411344,0.3298065294007832","0.11160290986299515,0.10900736600160599,0.10668090730905533,0.10428135097026825,0.10192080587148666,0.0996474102139473,0.09731608629226685,0.09494911879301071,0.09259339421987534,0.0902627557516098,0.08780902624130249,0.08535141497850418,0.08296952396631241,0.08019142597913742,0.07764279097318649,0.07496777921915054,0.07216578722000122,0.06939101219177246,0.0667896643280983,0.0638251006603241,0.060994356870651245,0.05823206529021263,0.05564725771546364,0.05255953222513199,0.05041368678212166,0.04764050617814064,0.045009806752204895,0.04248303174972534,0.040388867259025574,0.0382344089448452,0.03612205758690834,0.03461998701095581,0.03266168013215065,0.0314139723777771,0.029919108375906944,0.029139120131731033,0.0281966719776392,0.026932435110211372,0.026465624570846558,0.026642942801117897,0.02566985972225666,0.02588542364537716,0.025286657735705376,0.025547059252858162,0.025419043377041817,0.0252691637724638,0.025665687397122383,0.025943320244550705,0.02543909102678299,0.025665778666734695,0.02559559792280197,0.025456402450799942,0.025836607441306114","0.6705309152603149,0.6622644066810608,0.6541470885276794,0.6461151838302612,0.6381338834762573,0.630145788192749,0.6220878958702087,0.613898754119873,0.6055324077606201,0.5969501733779907,0.5881214141845703,0.5790201425552368,0.5696280598640442,0.5599273443222046,0.5499145984649658,0.5395910143852234,0.52895587682724,0.5180149078369141,0.5067899823188782,0.4952962100505829,0.48355263471603394,0.4715883433818817,0.4594378173351288,0.4471340775489807,0.434729665517807,0.422276109457016,0.4098145365715027,0.3973868489265442,0.38507378101348877,0.3729345500469208,0.36103370785713196,0.3494425415992737,0.3382396399974823,0.3274868130683899,0.3172338008880615,0.30755797028541565,0.2984868586063385,0.29006561636924744,0.2823568880558014,0.27533474564552307,0.26904645562171936,0.26349058747291565,0.2586750388145447,0.25457680225372314,0.2511688768863678,0.2483968287706375,0.24622923135757446,0.24462804198265076,0.24353238940238953,0.24282625317573547,0.2424813061952591,0.2424582839012146,0.24272631108760834","Alface Crespa - Roça"
V0,saved_models/model_V0.76,2,8,None,0.38120155737670935,0.27533297790084643,"0.2718287856511893,0.3054538918248145,0.3494385629965164,0.38318129636828613,0.4012878256984343,0.4153454698091547,0.4411501847192726,0.445232041764449","0.20865861608974567,0.22752553227775302,0.2575429690317212,0.27858239829219095,0.2901648479399962,0.3006762453114365,0.31850564262401626,0.321007571639912","0.11207383871078491,0.1094057708978653,0.1069992259144783,0.10444533824920654,0.10191836953163147,0.09947632253170013,0.09689627587795258,0.09405799210071564,0.0913512259721756,0.08855492621660233,0.08566766232252121,0.08279307931661606,0.07948644459247589,0.07645537704229355,0.07311095297336578,0.06967353075742722,0.06651858240365982,0.06303128600120544,0.05962364748120308,0.056563396006822586,0.05336662381887436,0.05015208572149277,0.04668339341878891,0.04371911659836769,0.040925879031419754,0.038388870656490326,0.03611137717962265,0.03383273258805275,0.03204568848013878,0.02980561926960945,0.028867851942777634,0.027806606143712997,0.026546660810709,0.025997132062911987,0.026060491800308228,0.0258929580450058,0.025857625529170036,0.02545842155814171,0.025535373017191887,0.02583770640194416,0.025570780038833618,0.02603764832019806,0.025908946990966797,0.025992758572101593","0.6905559301376343,0.6815252304077148,0.6725902557373047,0.6636558175086975,0.6546065807342529,0.6453045010566711,0.6356316208839417,0.6255301237106323,0.6149967312812805,0.6039608120918274,0.592401385307312,0.5802882313728333,0.5676137804985046,0.5543670058250427,0.5405620336532593,0.526233971118927,0.5114333033561707,0.4962001144886017,0.4805888533592224,0.46467164158821106,0.448528915643692,0.43225425481796265,0.4159398376941681,0.3996933400630951,0.383646160364151,0.3679324686527252,0.35268738865852356,0.3380522131919861,0.324172705411911,0.311160147190094,0.2991127073764801,0.2881084978580475,0.27821511030197144,0.2694808542728424,0.26189175248146057,0.2554622292518616,0.2501812279224396,0.2459472119808197,0.24265876412391663,0.24024063348770142,0.23859764635562897,0.23768708109855652,0.23734337091445923,0.23755384981632233","Alface Crespa - Roça"
V0,saved_models/model_V0.77,3,8,None,0.37807753929764343,0.274185470882462,"0.24814209826999065,0.2922290744976056,0.35953561595584504,0.3717357708229909,0.402961723010896,0.42336584978062886,0.4335631451256663,0.4466783368617424","0.19026236057989046,0.2172383783946435,0.2603104395240615,0.2783026453538051,0.2960980250697955,0.30862767558241827,0.3194668182010922,0.3231774243539894","0.11035613715648651,0.10701017081737518,0.10387122631072998,0.10080403089523315,0.09765788912773132,0.09438367187976837,0.0909615159034729,0.08750926703214645,0.08410167694091797,0.0806368812918663,0.07674719393253326,0.0731113851070404,0.06935194134712219,0.06554865837097168,0.06143850460648537,0.05802576616406441,0.05401983857154846,0.05073371157050133,0.04735703393816948,0.044043269008398056,0.04081708565354347,0.037786148488521576,0.03549783676862717,0.03358711302280426,0.03154643252491951,0.030541706830263138,0.02914215624332428,0.028426913544535637,0.02791573293507099,0.02732875756919384,0.027112754061818123,0.026839978992938995,0.026981975883245468,0.027030471712350845,0.027219628915190697,0.026421276852488518,0.026310443878173828","0.696272075176239,0.6834797263145447,0.670698881149292,0.6578094363212585,0.6446584463119507,0.6311399340629578,0.6170796155929565,0.6023522019386292,0.5868765711784363,0.5706830620765686,0.5538007020950317,0.5362838506698608,0.5181964635848999,0.4996190369129181,0.4806244373321533,0.4613424837589264,0.44189807772636414,0.42245861887931824,0.4032098948955536,0.3843359649181366,0.3660535514354706,0.3485797643661499,0.3321049213409424,0.31683865189552307,0.302951842546463,0.29059523344039917,0.27983060479164124,0.2707007825374603,0.263175904750824,0.25704917311668396,0.25223585963249207,0.24855291843414307,0.2458638697862625,0.2440768927335739,0.24312444031238556,0.24284888803958893,0.24311698973178864","Alface Crespa - Roça"
V0,saved_models/model_V0.78,4,8,None,0.38326729094889544,0.27938854052352813,"0.23448808753096795,0.29908953360329255,0.35304236134685507,0.38417316367003146,0.4127864271481216,0.4300692839182037,0.44624453655300206,0.4516602481786954","0.18148421423619188,0.22294142007656897,0.26389090953605693,0.28916025470929807,0.3075375284393383,0.31721317563538803,0.32298203651038204,0.3298987850450013","0.11154241114854813,0.10855546593666077,0.1053236797451973,0.10225829482078552,0.09923545271158218,0.09589769691228867,0.09265173226594925,0.08912799507379532,0.08567806333303452,0.08184946328401566,0.07819308340549469,0.0740971714258194,0.07001987099647522,0.06581979990005493,0.06160403788089752,0.057542745023965836,0.053346410393714905,0.04955179616808891,0.04582710564136505,0.04244669899344444,0.03881705179810524,0.03666241839528084,0.033557116985321045,0.032188527286052704,0.030296815559267998,0.02932085655629635,0.028521083295345306,0.028462303802371025,0.02822338230907917,0.028289316222071648,0.027989665046334267,0.02758145146071911,0.02820638008415699,0.028395498171448708,0.0284440778195858","0.7211043238639832,0.7082434892654419,0.6954497694969177,0.6824554800987244,0.6691116094589233,0.6552330255508423,0.6406140923500061,0.6251641511917114,0.6087881922721863,0.5914254784584045,0.5730057954788208,0.553553581237793,0.5330891013145447,0.5117769241333008,0.4897473156452179,0.4671880304813385,0.4443745017051697,0.42159345746040344,0.3991682231426239,0.37743499875068665,0.3567112386226654,0.33736005425453186,0.3196839690208435,0.3039756715297699,0.2904343903064728,0.2791231870651245,0.2700441777706146,0.26303595304489136,0.25785982608795166,0.25420230627059937,0.25175732374191284,0.2502543032169342,0.24955534934997559,0.24954833090305328,0.2501395344734192","Alface Crespa - Roça"
V0,saved_models/model_V0.79,5,8,None,0.38887891993418083,0.2862400579810797,"0.23491075108968065,0.31793491781423566,0.357282169120679,0.3976251644678514,0.4149357976743404,0.43626535589312004,0.4463308458675147,0.4539626871271154","0.18283954236587277,0.2349206946909755,0.27085868102338967,0.29756179313454323,0.31372706644519815,0.32467783586026444,0.33059960084777146,0.33473524948062305","0.11063523590564728,0.10651161521673203,0.10249660909175873,0.09874892979860306,0.09466616064310074,0.09082729369401932,0.08702998608350754,0.08296169340610504,0.07892891764640808,0.07474203407764435,0.07040142267942429,0.06623118370771408,0.06174934655427933,0.05771231651306152,0.05371694266796112,0.049461059272289276,0.045762769877910614,0.04263788089156151,0.03917563706636429,0.03667524829506874,0.034213099628686905,0.032207828015089035,0.030803009867668152,0.030430059880018234,0.02983853407204151,0.029670502990484238,0.02993767336010933,0.029349233955144882,0.029489029198884964,0.029997065663337708,0.02951773628592491,0.029092438519001007","0.7302402853965759,0.7127605080604553,0.6952351927757263,0.677449107170105,0.6592602133750916,0.6405289769172668,0.6211925148963928,0.6011333465576172,0.5802217125892639,0.5584369897842407,0.5358133912086487,0.5124108195304871,0.48845502734184265,0.464167982339859,0.43981966376304626,0.4156944155693054,0.39219802618026733,0.3696802258491516,0.3485572934150696,0.3291793167591095,0.3119381070137024,0.2970758378505707,0.2847476601600647,0.2749849259853363,0.26754501461982727,0.2620683014392853,0.25819501280784607,0.2555537819862366,0.25384142994880676,0.2529292404651642,0.25272610783576965,0.2531242072582245","Alface Crespa - Roça"
V0,saved_models/model_V0.80,6,8,None,0.3940913430041321,0.29291047346680193,"0.2409255151845838,0.32163520003223445,0.36812082128256346,0.3952069600345538,0.42133077191743684,0.44221397635629,0.4511613574370533,0.46113850008900786","0.18841034110409063,0.2419454628920113,0.2801445016151171,0.3005855668114088,0.3172637411354566,0.33398870524534235,0.33722326412281034,0.34372220480817894","0.10661550611257553,0.10250843316316605,0.09831749647855759,0.09391997754573822,0.08967658877372742,0.08562403172254562,0.08138257265090942,0.07696744799613953,0.07235364615917206,0.06804955005645752,0.06329434365034103,0.05879506841301918,0.054583653807640076,0.0508800707757473,0.046420179307460785,0.04289194568991661,0.039419110864400864,0.036023396998643875,0.03427679091691971,0.03222595900297165,0.03128215670585632,0.03072757087647915,0.03042689338326454,0.031034834682941437,0.0303651113063097,0.03105047345161438,0.031211204826831818,0.03057420253753662,0.030406519770622253","0.7200621366500854,0.6995070576667786,0.6788288354873657,0.6577414274215698,0.6360762119293213,0.6137653589248657,0.5907684564590454,0.5669687986373901,0.5423234105110168,0.5169573426246643,0.49099552631378174,0.4645717740058899,0.43798431754112244,0.41161394119262695,0.385929137468338,0.36152011156082153,0.33891671895980835,0.3186938166618347,0.3013734221458435,0.2873029112815857,0.27649396657943726,0.26867440342903137,0.2633123993873596,0.25977009534835815,0.2574220597743988,0.25591304898262024,0.2550538182258606,0.2548094391822815,0.2552207410335541","Alface Crespa - Roça"
V0,saved_models/model_V0.81,7,8,None,0.4039327224389883,0.30294078345624986,"0.2686611354468504,0.33505272987065304,0.37394436360721156,0.4091834843282399,0.42912978390243545,0.4502243548480206,0.4565526672755995,0.4672192488702511","0.2108597356456198,0.25386085951732335,0.28572562294463844,0.31087592350411924,0.32287360267861615,0.34102414642030493,0.3423973153965132,0.3559090615428645","0.10806255042552948,0.1034325510263443,0.09866034984588623,0.09394614398479462,0.08919578045606613,0.08444222062826157,0.079505056142807,0.07448849827051163,0.06951388716697693,0.06412354111671448,0.0592581108212471,0.05444005876779556,0.050079867243766785,0.045619864016771317,0.04188060015439987,0.03911760821938515,0.036425333470106125,0.034448325634002686,0.03341479226946831,0.03250017762184143,0.0327407568693161,0.033269669860601425,0.03336487337946892,0.03286110982298851,0.03305713087320328,0.03253651782870293,0.03193120285868645","0.7418327927589417,0.7179767489433289,0.6937822699546814,0.6690804958343506,0.6433490514755249,0.6164701581001282,0.58836829662323,0.559212327003479,0.5291098952293396,0.49840110540390015,0.4674004018306732,0.43652328848838806,0.4063756465911865,0.3776971697807312,0.3512377142906189,0.32772374153137207,0.3077318072319031,0.29163867235183716,0.2795380651950836,0.27094724774360657,0.2650839686393738,0.2611250579357147,0.25840824842453003,0.2565321624279022,0.2553654909133911,0.25497743487358093,0.25546500086784363","Alface Crespa - Roça"
V0,saved_models/model_V0.82,8,8,None,0.4058396570691547,0.3066138065520048,"0.2599691358617696,0.3320314334072038,0.3852739997418109,0.4210657477567095,0.43007162786592595,0.445728715927749,0.4616263103024039,0.466208999437684","0.20529250634638416,0.2526625474195865,0.2942519348386189,0.32075936072767,0.3255001229820093,0.34109949499075704,0.3545882653160711,0.358756219794942","0.10757600516080856,0.10337317734956741,0.09944625198841095,0.09525369107723236,0.09130192548036575,0.08692874014377594,0.08246180415153503,0.07830562442541122,0.07391878962516785,0.06895372271537781,0.06482845544815063,0.059838149696588516,0.05507245659828186,0.050274789333343506,0.04627049341797829,0.04231095686554909,0.038969382643699646,0.03638394922018051,0.034210897982120514,0.033463552594184875,0.03258707374334335,0.033130522817373276,0.032832950353622437,0.0335833840072155,0.033655066043138504,0.03278718143701553,0.03319956362247467","0.7585453987121582,0.7366054654121399,0.7146644592285156,0.6923196911811829,0.6693652272224426,0.6453799605369568,0.6201014518737793,0.5933274626731873,0.5650935769081116,0.5353466868400574,0.504357635974884,0.47247743606567383,0.4401620328426361,0.4080235958099365,0.37691107392311096,0.34771260619163513,0.32142677903175354,0.2989191710948944,0.2808428108692169,0.2674890458583832,0.2585098445415497,0.2529810965061188,0.2497928887605667,0.2480010986328125,0.24709005653858185,0.2468833178281784,0.24752505123615265","Alface Crespa - Roça"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss,columns
V0,saved_models/model_V0.85,1,8,None,0.4061993077513501,0.29334850175866956,"0.3415886592149656,0.36836255981814764,0.39995721031293396,0.4028673690434114,0.4130650768765351,0.4339179554343976,0.43707384644009795,0.4420410039970946","0.2501274760668303,0.2650491285693845,0.28834090720142436,0.29190596334112945,0.29839964413433173,0.31425052027818784,0.3177488255149617,0.32096554896310714","0.10971636325120926,0.10614818334579468,0.10272301733493805,0.09921073913574219,0.09581755101680756,0.09252902865409851,0.08905434608459473,0.08531923592090607,0.08181875199079514,0.07794231921434402,0.07461277395486832,0.07023484259843826,0.06688787043094635,0.06256607919931412,0.05875726044178009,0.05477605015039444,0.05121789872646332,0.04776870459318161,0.04396288841962814,0.040591441094875336,0.03748036175966263,0.034303631633520126,0.03190692141652107,0.03016943857073784,0.02832605130970478,0.02659045346081257,0.02561773546040058,0.02472061663866043,0.024365650489926338,0.02405637875199318,0.02435506321489811,0.02407544106245041,0.024501588195562363,0.024751082062721252,0.024315308779478073,0.02445172518491745,0.024208683520555496","0.6608725190162659,0.6497132182121277,0.6384329795837402,0.6270048022270203,0.615379273891449,0.6034647226333618,0.5911974906921387,0.5785189270973206,0.5653555393218994,0.5516465902328491,0.537399411201477,0.5226078629493713,0.5073108077049255,0.4915395677089691,0.47534701228141785,0.45878398418426514,0.4419260323047638,0.42486679553985596,0.4077203571796417,0.39061444997787476,0.37368467450141907,0.357100248336792,0.3410164415836334,0.32559940218925476,0.31099191308021545,0.2973767817020416,0.28491416573524475,0.27374303340911865,0.26392608880996704,0.255589097738266,0.248748779296875,0.2434435486793518,0.23959103226661682,0.2370610237121582,0.23570497334003448,0.23539431393146515,0.23589108884334564","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.86,2,8,None,0.3959626877763564,0.28347336255705785,"0.3391632863169363,0.35866926425564666,0.39307910522120987,0.38923471398527243,0.4070648475126856,0.4047024476875687,0.4323379353234073,0.43381957987667363","0.24167983989826228,0.25392295507826984,0.2798470167032698,0.27979329391782376,0.29265930576409865,0.29303785462606613,0.3130049714579798,0.3138416630106927","0.10860757529735565,0.10431243479251862,0.10038580000400543,0.09619205445051193,0.09161057323217392,0.08720465749502182,0.0827418863773346,0.07818009704351425,0.07325109094381332,0.06829451024532318,0.06340441107749939,0.0586126409471035,0.053735990077257156,0.048797786235809326,0.04418018460273743,0.03989572077989578,0.03591221570968628,0.032770659774541855,0.029867468401789665,0.0273593682795763,0.026324404403567314,0.02508208155632019,0.024361897259950638,0.02386271208524704,0.024534324184060097,0.024477196857333183,0.024332940578460693,0.025177085772156715,0.02476097270846367","0.6721788048744202,0.6582193970680237,0.6437873244285583,0.6287781000137329,0.613061785697937,0.5965090394020081,0.5791122317314148,0.5608546733856201,0.5416758060455322,0.521589994430542,0.5006051659584045,0.47875723242759705,0.4561963975429535,0.4331005811691284,0.4097135663032532,0.38629722595214844,0.3631919324398041,0.3407626152038574,0.3194293975830078,0.299617737531662,0.2817107141017914,0.2660994827747345,0.25309717655181885,0.24285569787025452,0.23538367450237274,0.23059998452663422,0.2281566560268402,0.22786353528499603,0.2292264848947525","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.87,3,8,None,0.39570849429085536,0.28194274716963674,"0.2964422324673618,0.351863619778372,0.37757924923918584,0.4126008539205692,0.41438675799370617,0.4165292761329661,0.43896117326347245,0.4362226572479627","0.21405438538269606,0.2468278913871574,0.2686144090846018,0.29414787369958945,0.2985021596387788,0.3021434816378512,0.31698320669417873,0.31426856983224055","0.11608444899320602,0.11030100286006927,0.104474276304245,0.09952615201473236,0.09438638389110565,0.08898849040269852,0.08363448828458786,0.07836165279150009,0.07351800799369812,0.06827831268310547,0.06331171840429306,0.05828719958662987,0.053287066519260406,0.048099420964717865,0.043970122933387756,0.03991367667913437,0.03638869896531105,0.03234824538230896,0.02935224212706089,0.02707795239984989,0.025758778676390648,0.024518171325325966,0.02448032796382904,0.02457411400973797,0.02453826367855072,0.024938547983765602,0.024772971868515015,0.024364836513996124","0.7155358791351318,0.6956138610839844,0.6762454509735107,0.6572060585021973,0.6381206512451172,0.6186943054199219,0.5987921357154846,0.5782558917999268,0.5569489002227783,0.5348040461540222,0.5118508338928223,0.4881017506122589,0.4636746048927307,0.43876907229423523,0.4136725664138794,0.38868409395217896,0.36415231227874756,0.3405400514602661,0.31829750537872314,0.29787251353263855,0.27976223826408386,0.2643517553806305,0.2518186867237091,0.24223245680332184,0.23555831611156464,0.23159755766391754,0.2301427572965622,0.23069335520267487","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.88,4,8,None,0.3891421133325385,0.27820017939863306,"0.29950324848913085,0.35384342837848765,0.3788944463079166,0.3798628941167175,0.4015776854656427,0.4219528522684783,0.4269869383047907,0.4325064103976643","0.21487030024256262,0.2510815451749478,0.27136091922039185,0.275869774393385,0.2887707707723021,0.30521885585881753,0.3069887483695224,0.3114405211571355","0.11509164422750473,0.10888844728469849,0.1032232716679573,0.09738866984844208,0.09186843782663345,0.08603381365537643,0.08018410950899124,0.07433764636516571,0.067990243434906,0.0621657557785511,0.056059591472148895,0.050314780324697495,0.04438933730125427,0.03933371976017952,0.03518406301736832,0.031186796724796295,0.02843610756099224,0.026188470423221588,0.0253297109156847,0.0250120609998703,0.02538592740893364,0.025445593520998955,0.025728799402713776,0.02549268864095211","0.7239741683006287,0.7027819752693176,0.6816776394844055,0.6600926518440247,0.637752890586853,0.6144152283668518,0.5899702906608582,0.5642454028129578,0.5371149778366089,0.5086161494255066,0.4789338707923889,0.4484267830848694,0.4175857603549957,0.3869943618774414,0.35737019777297974,0.32946911454200745,0.304092139005661,0.28206974267959595,0.2639567255973816,0.24999308586120605,0.24020786583423615,0.23439745604991913,0.2319197654724121,0.2322746217250824","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.89,5,8,None,0.39472083996079665,0.2832967358996278,"0.30116050023172036,0.340272146855739,0.3853843637185273,0.40493263854307804,0.41705496171109,0.4200964400790019,0.4304477287674721,0.4379051202681506","0.21877100677718136,0.2452500341870992,0.27694489157201024,0.29190169524871457,0.3021213789113558,0.303649674091994,0.3100836460651093,0.3176515603435585","0.11330950260162354,0.10522008687257767,0.0976971909403801,0.09034798294305801,0.08356063067913055,0.07600121945142746,0.0688917264342308,0.06216747313737869,0.05519135296344757,0.04873371124267578,0.043323442339897156,0.037813764065504074,0.033530060201883316,0.030133476480841637,0.028159398585557938,0.026977363973855972,0.02690819278359413,0.027020998299121857,0.026802556589245796,0.02704884298145771,0.026791337877511978","0.7186077237129211,0.6892337203025818,0.6599783301353455,0.6303482055664062,0.5999457240104675,0.5684962868690491,0.5359324216842651,0.502295732498169,0.46779197454452515,0.43295732140541077,0.39834409952163696,0.3648277223110199,0.3334908187389374,0.30552470684051514,0.28183040022850037,0.262887567281723,0.24899914860725403,0.24013496935367584,0.2356862872838974,0.23519593477249146,0.2379997819662094","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.90,6,8,None,0.3962604292410653,0.2859414685465882,"0.3009774614340814,0.357434760754719,0.3769684369513148,0.4077719790451924,0.4135150217690409,0.4235300891091285,0.4331764931533899,0.4375318372294336","0.22134272064804789,0.2569101956566148,0.27159863523442695,0.29514161262110833,0.298439222312152,0.3066151255434269,0.3140011777859107,0.3234830585710184","0.10697908699512482,0.0983436331152916,0.09016995877027512,0.08238145709037781,0.07435542345046997,0.06690821051597595,0.05940258502960205,0.052170101553201675,0.04616239666938782,0.04012838378548622,0.03495122492313385,0.03099825792014599,0.027744701132178307,0.02728024311363697,0.02603939361870289,0.02615860104560852,0.02720373310148716,0.027855951339006424,0.027397677302360535","0.7061697840690613,0.6729147434234619,0.640236496925354,0.6073499917984009,0.5736966133117676,0.5390994548797607,0.5034613013267517,0.46701130270957947,0.4300891160964966,0.39336979389190674,0.3579423725605011,0.3251335918903351,0.29630255699157715,0.27285897731781006,0.25553858280181885,0.24426040053367615,0.23840710520744324,0.23711848258972168,0.23941859602928162","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.91,7,8,None,0.4002138652803448,0.289903164697629,"0.3109717969585206,0.36904480888020125,0.3822371873309841,0.3982948759351372,0.4261375205917314,0.4307876502599427,0.4270274109144329,0.4406857189838504","0.2284938478079488,0.2636326008876825,0.276196621831843,0.287520212953199,0.30951066012330875,0.31348417155938924,0.31059939459554653,0.3297878078221147","0.1160382628440857,0.10668351501226425,0.09795267134904861,0.08917199075222015,0.08093716949224472,0.07274871319532394,0.06486791372299194,0.057642653584480286,0.050820812582969666,0.04351171851158142,0.037869203835725784,0.033406876027584076,0.02940429002046585,0.027521556243300438,0.0271154772490263,0.026628244668245316,0.026883944869041443,0.027642985805869102,0.02813747338950634","0.774383008480072,0.7377022504806519,0.7015326023101807,0.6652382612228394,0.6282352209091187,0.590352475643158,0.5512294173240662,0.5110421776771545,0.47019699215888977,0.4293173849582672,0.3894055187702179,0.35186636447906494,0.318205863237381,0.2898244261741638,0.2680666446685791,0.2530446946620941,0.2443881779909134,0.2413334995508194,0.2430092990398407","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
V0,saved_models/model_V0.92,8,8,None,0.4021179800130823,0.2930637533708599,"0.30159523741316835,0.3726051853677949,0.3922105907716114,0.4044970741020696,0.4276956479618067,0.4271578649941655,0.44322175272521214,0.429554054728779","0.22413294205637094,0.267970395156155,0.28268787186746497,0.29245930867009334,0.3112384889830969,0.3132873674955633,0.3291755131686233,0.3235581395695117","0.11085345596075058,0.10077885538339615,0.09179994463920593,0.08251780271530151,0.07407349348068237,0.06567922234535217,0.05733036622405052,0.04941007122397423,0.04268261790275574,0.037085358053445816,0.03216084837913513,0.029667546972632408,0.02745450846850872,0.027574703097343445,0.028859995305538177,0.028924666345119476,0.029432717710733414","0.7596950531005859,0.7205607295036316,0.681364119052887,0.6413648724555969,0.5999694466590881,0.556948184967041,0.5124028325080872,0.4671211242675781,0.42225372791290283,0.37916135787963867,0.33971360325813293,0.30575650930404663,0.2787356674671173,0.2598627507686615,0.24879471957683563,0.24456395208835602,0.24577541649341583","Alface Crespa - Roça,TEMPERATURA DO PONTO DE ORVALHO (°C)"
