model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.27,8,8,7,0.41745626441855044,0.3117793267791948,"0.41745626441855044","0.3117793267791948","0.12971411645412445,0.07093759626150131,0.041556913405656815,0.034144725650548935,0.03744988143444061,0.040735162794589996","0.7022280693054199,0.48367607593536377,0.34122583270072937,0.26771196722984314,0.24517647922039032,0.25540027022361755"
V0,saved_models/model_V0.28,8,8,7,0.4555793433066963,0.3435378736561408,"0.4555793433066963","0.3435378736561408","0.05063822865486145,0.03221191093325615,0.03204425051808357,0.03244348242878914","0.4648641347885132,0.3365633487701416,0.2997398376464844,0.3212173879146576"
V0,saved_models/model_V0.29,8,8,7,0.4452807741166053,0.33935305073735006,"0.4452807741166053","0.33935305073735006","0.06435971707105637,0.03938924893736839,0.033102549612522125,0.034654077142477036,0.034746646881103516","0.5323948264122009,0.3882375657558441,0.3085513412952423,0.2880251109600067,0.3063201606273651"
V0,saved_models/model_V0.30,8,8,7,0.4330242611267401,0.3264593920415511,"0.4330242611267401","0.3264593920415511","0.07966569066047668,0.0421527698636055,0.03173750266432762,0.037031471729278564,0.03619307652115822","0.5333823561668396,0.35822153091430664,0.27331024408340454,0.2571912407875061,0.2810947000980377"
V0,saved_models/model_V0.31,8,8,7,0.4453458016056781,0.33253175475709884,"0.4453458016056781","0.33253175475709884","0.07297901064157486,0.03993538022041321,0.031515415757894516,0.036199819296598434,0.03398450091481209","0.5606415867805481,0.3757528066635132,0.28633973002433777,0.2725546061992645,0.3034915328025818"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.32,8,8,None,0.4180216006129176,0.3068676597582129,"0.3155665094651025,0.3681234044969181,0.42226079079092294,0.41815181479842933,0.4538820498771117,0.4453808264138159,0.44959054325931547,0.4507545205685573","0.23093326648562676,0.26364505544064737,0.3037332383472351,0.3022144970142869,0.3326271058907926,0.32842865705133734,0.34004999498390365,0.3533094628518739","0.10640827566385269,0.09260229021310806,0.07993066310882568,0.06719460338354111,0.05550852417945862,0.04650428146123886,0.03839527443051338,0.03288666158914566,0.03065447509288788,0.029870901256799698,0.028554795309901237,0.02827700786292553","0.7328621745109558,0.672607958316803,0.6110823750495911,0.5469000339508057,0.48058751225471497,0.41583430767059326,0.3578571379184723,0.3113642632961273,0.27954474091529846,0.26287099719047546,0.2584312856197357,0.26245394349098206"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.33,8,8,None,0.4039229571868094,0.2966232500501636,"0.31624183478587237,0.3743723581764905,0.40878876504634654,0.43395221557798824,0.4134533823185747,0.41941438962615774,0.4231264029694406,0.42866726001149613","0.2362812618281665,0.27145982782438666,0.29880062094923104,0.3185386176600796,0.3044035013290517,0.30717427835081385,0.30935619897582434,0.32697169348375543","0.10822197049856186,0.07613414525985718,0.04821022227406502,0.030437055975198746,0.028118174523115158,0.03110089898109436","0.7067410945892334,0.5695204734802246,0.43006014823913574,0.309176504611969,0.24791769683361053,0.24937976896762848"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.34,8,8,None,0.4441115744780786,0.32831044820331495,"0.37643326219587553,0.4436969032925044,0.4192977603355771,0.44019747983453933,0.46522309923122845,0.4581870333284386,0.4745871593831798,0.4670401345808143","0.27414287405589377,0.3182676242378464,0.30603610668076553,0.3223966202254934,0.34497726641250304,0.3423293549089107,0.35934004126707714,0.35899369783802987","0.09787090122699738,0.06738999485969543,0.039643533527851105,0.026587260887026787,0.03269767388701439,0.029732508584856987","0.6734035611152649,0.5307457447052002,0.3674980700016022,0.2540339231491089,0.24679569900035858,0.2963590621948242"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.35,8,8,None,0.41640561491063094,0.306490086542362,"0.321504101899549,0.4103734554058849,0.40294199732205366,0.42444308320118884,0.44349282638188053,0.4206557009748199,0.4311759743568758,0.46185908871882064","0.24080164609611912,0.29625560435463366,0.2965811112870125,0.31079265025776687,0.32677058063782005,0.31144652093382286,0.3168876120752874,0.3523849666964337","0.08272574096918106,0.03780248016119003,0.027530474588274956,0.03410239890217781","0.5458530783653259,0.3303193151950836,0.23410308361053467,0.2634577453136444"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.36,8,8,None,0.4518160276707261,0.33331460613778907,"0.4049397194954641,0.4160336507866551,0.435881170590466,0.4303365052090209,0.4809127283237762,0.4660824124197016,0.4734727646885672,0.49817003015621736","0.2928537791126513,0.30163385084594935,0.3188933956543945,0.3160331113559023,0.3565860535192482,0.34602059266741714,0.3535418106985092,0.38095425524824106","0.09247389435768127,0.0484323613345623,0.025662921369075775,0.03181033208966255,0.028884151950478554","0.607384979724884,0.40463224053382874,0.2523134648799896,0.24493074417114258,0.30959203839302063"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.37,8,8,None,0.404499358052932,0.2969875760399108,"0.2813515459278662,0.3691975055884805,0.4058180585350105,0.4052652137463595,0.4184877230349427,0.42367282231039816,0.4572673180029932,0.4481519049139805","0.22194044900826082,0.2695392494687282,0.29600064623627115,0.2953183186326672,0.306238968315924,0.31193215950041364,0.33840297982179757,0.33652783733522396","0.09416473656892776,0.05914200842380524,0.03410462662577629,0.0256101805716753,0.029271842911839485","0.6375088095664978,0.48482027649879456,0.33658114075660706,0.25395989418029785,0.25579187273979187"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.38,8,8,None,0.4799619166216585,0.3569053114823405,"0.3972283811145537,0.4706065594709125,0.45447432253443154,0.43855779296093916,0.5159207647437363,0.5315757013386581,0.5242017292690802,0.4911540983755569","0.2929076072109125,0.34820504206780856,0.3292834947782956,0.3186316800569649,0.38433467086064416,0.40832602175450455,0.3954268802897094,0.3781270948398849","0.10843706876039505,0.10411567240953445,0.09937445819377899,0.0942128524184227,0.0902937725186348,0.08471526950597763,0.08019767701625824,0.07462501525878906,0.06976532936096191,0.06403394788503647,0.05865864083170891,0.05436941981315613,0.04953916743397713,0.046115703880786896,0.04273637384176254,0.039650049060583115,0.0378732830286026,0.03724241629242897,0.03646915778517723,0.03443039953708649,0.03338412195444107,0.033806752413511276,0.03574974834918976","0.7672894597053528,0.754194438457489,0.7398433685302734,0.723740816116333,0.7059343457221985,0.6861833930015564,0.6640475392341614,0.6397823691368103,0.613147497177124,0.5840874314308167,0.553277850151062,0.5220409035682678,0.4912463128566742,0.4614171087741852,0.43401965498924255,0.41027316451072693,0.39066043496131897,0.375342458486557,0.3642145097255707,0.35655269026756287,0.35170412063598633,0.34946975111961365,0.34981176257133484"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.39,8,8,None,0.4867515096629679,0.35996831984751815,"0.3839270231116344,0.49931218500510105,0.502472494281363,0.4510731087291847,0.5207586919628967,0.48100017952724095,0.5252791762781236,0.5140905388975588","0.2734104970225608,0.3629664375672797,0.36753860052833226,0.3306394040542281,0.39228946417192584,0.36854310022717857,0.39296428400124983,0.3913947712073904","0.14292961359024048,0.1302255094051361,0.11809084564447403,0.10928872227668762,0.09839563071727753,0.09046196192502975,0.08073914051055908,0.07209817320108414,0.06609207391738892,0.05992782115936279,0.05338276922702789,0.04739285632967949,0.04470476508140564,0.04114467278122902,0.04064460098743439,0.03810783475637436,0.0375952422618866,0.03624691441655159,0.0339232012629509,0.03364451602101326,0.03455131873488426,0.0333070233464241","0.8987370133399963,0.8540356755256653,0.8116674423217773,0.7707460522651672,0.73051518201828,0.6903345584869385,0.6495193243026733,0.6078423261642456,0.5664904713630676,0.5264728665351868,0.4887525141239166,0.4542628228664398,0.4238702952861786,0.39751020073890686,0.3760874271392822,0.3608682453632355,0.351258784532547,0.3447275161743164,0.34102165699005127,0.3393387794494629,0.33931031823158264,0.34007158875465393"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.40,8,8,None,0.46683161579388777,0.34441305408143846,"0.42557407207599685,0.4775854201906309,0.44971477805252086,0.43614650154480855,0.48410515775416124,0.48021367761815015,0.5004059221072011,0.4758326558902375","0.3026769620673061,0.3436502407480789,0.32423889085618746,0.31597468824635255,0.3596077984182129,0.3616105076502111,0.37956422536906814,0.3679811192960911","0.10254029184579849,0.09260839223861694,0.08265453577041626,0.07298789918422699,0.06445223838090897,0.056277163326740265,0.04844450205564499,0.0427551232278347,0.03933395445346832,0.03442563861608505,0.0331035777926445,0.030916541814804077,0.030619382858276367,0.03147372230887413","0.747481644153595,0.7054327130317688,0.6619303226470947,0.6164816617965698,0.5692222714424133,0.5206510424613953,0.4729102551937103,0.42813634872436523,0.3891957998275757,0.35774412751197815,0.3341115713119507,0.3192274570465088,0.31232109665870667,0.3125404715538025"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.41,8,8,None,0.42282539678901365,0.30877340973456924,"0.2934144040153051,0.3811440637153379,0.4100562550038513,0.43590430250037654,0.44530838186095234,0.47185202995442205,0.46319104876260075,0.4530333161937946","0.21839946410365307,0.27171209517496764,0.29625639669922615,0.3155559204892572,0.3242125888879968,0.3459921236951037,0.3446180274649465,0.3534406613614033","0.10462214052677155,0.09199225902557373,0.07942276448011398,0.06652304530143738,0.054804034531116486,0.04411308094859123,0.03580142557621002,0.030070818960666656,0.02769775502383709,0.028567928820848465,0.026991363614797592,0.02688423916697502","0.7357376217842102,0.6835888028144836,0.6278688311576843,0.5672762393951416,0.5020063519477844,0.4353467524051666,0.37315988540649414,0.3219829499721527,0.2865433990955353,0.26896560192108154,0.26597467064857483,0.2730080783367157"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.42,8,8,None,0.4094723000575598,0.2998758565795894,"0.3395975006732041,0.34332540394714867,0.40336328638058927,0.40569589133882983,0.4290212828361248,0.44024021506597777,0.4464984080318399,0.4512417169819848","0.24602446805561556,0.24802521127443672,0.29093619921993474,0.2930934129242625,0.3131998692263983,0.3269088058365001,0.3338080825665641,0.34701080353300295","0.10339111089706421,0.08558248728513718,0.06909273564815521,0.05357794091105461,0.040326330810785294,0.031429391354322433,0.028079569339752197,0.028233833611011505,0.02897091954946518","0.7164888978004456,0.6394715309143066,0.5572235584259033,0.4702650308609009,0.3849988877773285,0.31326746940612793,0.26680007576942444,0.2483333796262741,0.25200995802879333"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.43,8,8,None,0.4185535631010516,0.30667105359224,"0.32516132253458874,0.3737454429400105,0.41189517367166195,0.4144475615605576,0.4531615018883675,0.45257018021189677,0.44240737428997645,0.45689968775587786","0.2380688082858328,0.2687085752010806,0.2972207262612193,0.30074280955511323,0.3320957158765523,0.3344485418992807,0.33144100624367623,0.3506422454151653","0.10226444900035858,0.07833120971918106,0.05665333941578865,0.038952793926000595,0.02846815623342991,0.027644997462630272,0.029127439484000206,0.028386734426021576","0.6950134634971619,0.5918478965759277,0.4816075265407562,0.37283429503440857,0.2882252335548401,0.2468581199645996,0.2439897060394287,0.2645389139652252"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.44,8,8,None,0.4106564286939209,0.2999062514615576,"0.29947227402756676,0.3918961286954528,0.3941109579340084,0.4163049317259883,0.43354745908520925,0.43621065182012064,0.4524778614775274,0.4407162469350818","0.22251246403138247,0.27939704168669866,0.2822162598078528,0.3024756360110802,0.316914191592896,0.32127520062933246,0.3372963419001168,0.3371628760331018","0.10204660892486572,0.08627453446388245,0.0700744166970253,0.05437913164496422,0.0407419316470623,0.03115202486515045,0.028523117303848267,0.027758553624153137,0.0286103542894125","0.7154571413993835,0.6450344920158386,0.5662825107574463,0.479852557182312,0.3929591178894043,0.31859734654426575,0.2704266607761383,0.2510465085506439,0.2546118199825287"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.45,8,8,None,0.4169484096473068,0.30300047936848085,"0.339327742909383,0.38429710221528635,0.44486000253295604,0.42547368004132274,0.4379307131316852,0.4338846705179418,0.4279252245064528,0.4311064157901033","0.2496049434947874,0.277776454453128,0.3221365177913486,0.31134281309512774,0.31884557715336526,0.31517474268727064,0.3108492297052529,0.3182735565675664","0.09514880925416946,0.05431879684329033,0.029134683310985565,0.02779911272227764,0.03044879622757435","0.6388248801231384,0.46261635422706604,0.31022366881370544,0.24745462834835052,0.2677038013935089"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.46,8,8,None,0.42275049827683964,0.3082812363886872,"0.35968397772476896,0.3631755605038256,0.4093880856178706,0.43134416303340845,0.4389873666596001,0.44457763543542866,0.4583265390982543,0.4630291877199777","0.2578939421560563,0.26089050872650665,0.2944072359719998,0.3138146378351369,0.3213867805438335,0.32709925897420233,0.3411679336053813,0.34958959329638134","0.10733572393655777,0.08984354138374329,0.07459253072738647,0.05868242308497429,0.04464854672551155,0.03406822308897972,0.02923271432518959,0.028129316866397858,0.028846105560660362,0.028434056788682938","0.7417035698890686,0.6704631447792053,0.5953120589256287,0.5142955183982849,0.4307687282562256,0.35395947098731995,0.29667961597442627,0.2662500739097595,0.2599088251590729,0.27055326104164124"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.47,8,8,None,0.43650996603266784,0.3202638474270684,"0.3276022428915931,0.40733830738183313,0.42142793068115814,0.4697207727390745,0.455492976388625,0.4761200480917841,0.46812740787561763,0.44669156083252237","0.2406909944253442,0.29404155526589987,0.30625948275360076,0.3438265781681615,0.33337506270567524,0.3550345297198693,0.3500502988230959,0.3388322775549014","0.09574344754219055,0.06076638400554657,0.034863024950027466,0.025591028854250908,0.030607737600803375,0.02899329736828804","0.6487963795661926,0.4947987496852875,0.3431895673274994,0.25003698468208313,0.24480915069580078,0.2881499230861664"
model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.48,8,8,None,0.4095618903122119,0.29938518645713247,"0.3033134691632107,0.36922751148976823,0.39931468137546344,0.4006718168346992,0.4379482204928628,0.4408025092962911,0.44987003419437555,0.45290270134292854","0.2246616235301708,0.26577847837069807,0.2863094792050881,0.2881592458150086,0.3196075579895854,0.3249405586832479,0.3379116636772005,0.3477128843860606","0.10572516918182373,0.08987903594970703,0.07496237754821777,0.060093604028224945,0.0460243821144104,0.03465070202946663,0.02802780456840992,0.026449458673596382,0.027077874168753624,0.02693057805299759","0.7367250323295593,0.6695168018341064,0.5986823439598083,0.5205404758453369,0.43774423003196716,0.359519362449646,0.2980974614620209,0.26231616735458374,0.2509729862213135,0.25759080052375793"
